city,x,y
Tangier,115.0,249.0
Ceuta(Spain),130.0,253.0
Tetouan,134.0,239.0
El Hoceima,180.0,225.0
Larache,106.0, 227.0
Melilla(Spain),213.0, 233.0
Nador,217.0, 220.0
Oujda,248.0, 207.0
Rabat,84.0, 178.0
Fez,147.0, 179.0
Casablanca,59.0, 160.0
Beni Mellal,97.0, 111.0
Errachidia,163.0, 93.0
Safi,4.0, 109.0
Essaouira,-16.0, 76.0
Marrakech,42.0, 85.0
Agadir, -16.0, 35.0
Tiznit,-18.0, 5.0
Tata,43.0, 7.0
Sidi Ifni, -32.0, -10.0
Guelmim, -24.0, -26.0
Tantan,-67.0, -48.0
Laayoune,-140.0, -100.0
Samara,-87.0, -113.0
Boujdour,-180.0, -138.0
Dakhla,-228.0, -228.0
Awserd,-177.0, -269.0
Tarfaya,-263.0, -286.0
Lagouira,-266.0, -311.0
Taroudant,-263.0, -286.0
Ouarzazate,53.0, 36.0
El Jadida,19.0, 139.0
Kenitra,94.0, 205.0
Salé,87.0, 184.0
Meknes,128.0, 159.0
Ouezzane,116.0, 219.0
Chefchaouen,139.0, 225.0
Taza,172.0, 194.0
Settat,46.0, 134.0
Khouribga,74.0, 127.0
Mohammedia,66.0, 166.0
Temara,78.0, 172.0
Berkane,238.0, 215.0
Taourirt,220.0, 203.0
Ben Guerir, 41.0, 105.0
Guercif, 193.0, 197.0
Seffrou, 193.0, 197.0
Sidi Slimane,117.0, 184.0
Oued Zem,86.0, 128.0
Midelt,157.0, 125.0